,Name,Intro,Link
23,ATLASense Biomed,Wearable Solution for Clinical Decision Support,https://finder.startupnationcentral.org/company_page/atlasense-biomed
24,SubStrata,Behavioral Intelligence for Dealmakers and Sales Professionals,https://finder.startupnationcentral.org/company_page/substrata
25,Swapp,AI-based Space Planning,https://finder.startupnationcentral.org/company_page/buildos
26,DarioHealth,Digital Therapeutics for Treating Chronic Conditions,https://finder.startupnationcentral.org/company_page/labstyle-innovations
27,Tunity,Audio Sync for Televisions,https://finder.startupnationcentral.org/company_page/tunity
28,MeMed Diagnostics,Diagnostic Tools for Infectious Diseases,https://finder.startupnationcentral.org/company_page/memed-diagnostic
29,Scopio Labs,Computational Microscopy for Blood Diagnostics,https://finder.startupnationcentral.org/company_page/scopio-labs
30,RAVIN.AI,AI-powered Vehicle Condition Monitoring,https://finder.startupnationcentral.org/company_page/ravin
31,MDI Health,Artificial Pharmacology Intelligence Platform,https://finder.startupnationcentral.org/company_page/mdi
32,PomVom,Real-time Photo Exchange App,https://finder.startupnationcentral.org/company_page/pomvom
33,Roboteam,Unmanned Robotic Systems,https://finder.startupnationcentral.org/company_page/roboteam
34,SaverOne,Smartphone Distraction Prevention,https://finder.startupnationcentral.org/company_page/saver1
35,DrizzleX,Usage-based Water Metering,https://finder.startupnationcentral.org/company_page/drizzlex
36,Wis2Biz,AI-based Weight Loss Platform,https://finder.startupnationcentral.org/company_page/wis2biz
37,NanoScent,Scent Recognition Solutions,https://finder.startupnationcentral.org/company_page/nanoscent
38,Parametrix Insurance,Parametric Insurance for IT Downtime,https://finder.startupnationcentral.org/company_page/parametrix
39,The Sustainable Group,AI-powered Circular Self-sustained Infrastructure,https://finder.startupnationcentral.org/company_page/the-sustainable-group
40,C2i Genomics,Liquid Biopsy for Cancer Tumor Monitoring,https://finder.startupnationcentral.org/company_page/c2i-genomics
41,Perimeter 81,Network Security Platform,https://finder.startupnationcentral.org/company_page/Perimeter81
42,BeeHero,Beehive Monitoring Solution,https://finder.startupnationcentral.org/company_page/beehero
43,DataClue.io,Pharmaceutical Research and Development for Discovering New Drug Opportunities,https://finder.startupnationcentral.org/company_page/dataclue-io
44,PDP-Tech,Predictive Maintenance Solution,https://finder.startupnationcentral.org/company_page/pdp-technologies
45,Wasteless,AI-based Pricing Engines for Supermarkets,https://finder.startupnationcentral.org/company_page/wasteless
46,SightBit,Smart System for Drowning Prevention,https://finder.startupnationcentral.org/company_page/sightbit
47,CYE,Cyber-security Optimization Solutions,https://finder.startupnationcentral.org/company_page/hyver-security
48,Modal<>AI,Knowledge Representation and Reasoning Engine,https://finder.startupnationcentral.org/company_page/modal-ai
49,Treato,Analysis of Prescription Drug Reviews,https://finder.startupnationcentral.org/company_page/treato
50,AI21 Labs,AI-based Writing Solution,https://finder.startupnationcentral.org/company_page/ai211
51,SeeTree,Intelligence Platform for Monitoring Trees,https://finder.startupnationcentral.org/company_page/seetree
52,Hortica,Horticultural Technologies,https://finder.startupnationcentral.org/company_page/hortica
53,Percepto,Autonomous Drone Security Solutions,https://finder.startupnationcentral.org/company_page/vision-cortex
54,Coralogix,Machine Learning Log Analytics,https://finder.startupnationcentral.org/company_page/coralogix
55,Zimperium,Threat Protection for Mobile Devices and Apps,https://finder.startupnationcentral.org/company_page/zimperium
56,Freightos,Online Freight Shipping Marketplace and Platform,https://finder.startupnationcentral.org/company_page/freightos
57,Cybereason,Unified Cyberattack Protection,https://finder.startupnationcentral.org/company_page/cybereason
58,Localize,AI Real Estate Platform,https://finder.startupnationcentral.org/company_page/localize
59,L1ght,Protecting Children from Online Abuse,https://finder.startupnationcentral.org/company_page/L1ght
60,Renovai,AI-based Interior Design Solution,https://finder.startupnationcentral.org/company_page/renovai
61,D2B,Marketplace for Sustainable Fashion with 3D Printing,https://finder.startupnationcentral.org/company_page/designer2buyer-com-d2b
62,D-ID,Protecting Images from Unauthorized Facial Recognition,https://finder.startupnationcentral.org/company_page/de-identification
63,Anannda Remote Living,Remote Living Membership Platform for Premium Nomads,https://finder.startupnationcentral.org/company_page/magic-square
64,Cellebrite,Mobile Data Technology for the Cellular Industry,https://finder.startupnationcentral.org/company_page/cellebrite
65,Magentiq Eye,Automatic Polyp Detection and Analysis System for Colonoscopy & AI-SUIT for the Gastroenterologist,https://finder.startupnationcentral.org/company_page/Magentiq-Eye
66,AgroScout,AI-based Crop Intelligence Solutions for Agriculture,https://finder.startupnationcentral.org/company_page/agroscout
67,Algoretail,Plug-and-Play Retailer Platform,https://finder.startupnationcentral.org/company_page/algoretail
68,Cognata,Autonomous and Advanced Driver-assistance System Simulation Software,https://finder.startupnationcentral.org/company_page/cognata
69,Mobileye,Autonomous Driving and Driver-assist Technologies,https://finder.startupnationcentral.org/company_page/mobileye
70,StoreDot,Extreme Fast-charging Electric Vehicle Batteries,https://finder.startupnationcentral.org/company_page/storedot
71,EchoCare Technologies,Noninvasive Home Monitoring System for Seniors,https://finder.startupnationcentral.org/company_page/echocare
72,Ultrawis,Comprehensive Jobsite Logistics Solution,https://finder.startupnationcentral.org/company_page/ultrawis-ltd
73,Animo,Analysis and Optimization of Businesses' Offline Media Activity,https://finder.startupnationcentral.org/company_page/animo
74,Intuition Robotics,Cognitive Digital Companions,https://finder.startupnationcentral.org/company_page/intuition-robotics
75,emza Visual Sense,Sub-milliwatt Visual Sensors for IoT,https://finder.startupnationcentral.org/company_page/emza-visual-sense
76,Newsight Imaging,CMOS Image Sensor Chips for Machine Vision and Spectral Analysis,https://finder.startupnationcentral.org/company_page/newsight-imaging
77,Buywith,Social Tool for eCommerce,https://finder.startupnationcentral.org/company_page/fly-ai
78,QbiqAI,AI Technology for Architectural Services,https://finder.startupnationcentral.org/company_page/qbiq
79,C2A Security,Cybersecurity Solutions for the Automotive Industry,https://finder.startupnationcentral.org/company_page/c2a-security
80,Circles,Online Support Group Platform,https://finder.startupnationcentral.org/company_page/7chairs
81,MISTRIX,Hyper-personalized Beauty Campaigns,https://finder.startupnationcentral.org/company_page/mistrix
82,Rubato,AI-based Music Therapy,https://finder.startupnationcentral.org/company_page/rubato
83,Vectorious Medical Technologies,Miniature Implant for Left Atrial Monitoring,https://finder.startupnationcentral.org/company_page/vectorious-medical-technologies
84,GOARC,Predictive AI-powered Digital Safety Solutions,https://finder.startupnationcentral.org/company_page/goarc
85,Neurosteer,Brain Activity Monitoring,https://finder.startupnationcentral.org/company_page/neurosteer
86,Razor Labs,AI-based Solutions for Industrial Manufacturing Processes,https://finder.startupnationcentral.org/company_page/razor-labs
87,Conflu3nce,Personalized Solution for Detecting Cognitive Health Changes,https://finder.startupnationcentral.org/company_page/conflu3nce
88,FundGuard,AI-powered Investment Management Platform,https://finder.startupnationcentral.org/company_page/fundguard
89,Autonomous Pivot,AI-based Platform for Maximizing and Protecting Crop Production,https://finder.startupnationcentral.org/company_page/autonomous-pivot
90,NetOp CLD,Autonomous Campus Enterprise Network Operations,https://finder.startupnationcentral.org/company_page/netop-cld
91,CardiacSense,Smart Watch for Detecting and Monitoring Heart Arrhythmias,https://finder.startupnationcentral.org/company_page/sportracker
92,FICX,No-code Automation Platform for Customer Experience,https://finder.startupnationcentral.org/company_page/callvu
93,Wenrix,Airfare Optimization Solution for Travel Agencies,https://finder.startupnationcentral.org/company_page/whizar
94,OncoHost,Personalized Strategies for Cancer Therapy,https://finder.startupnationcentral.org/company_page/oncohost
95,Enzymit,Generation of Novel Enzymes,https://finder.startupnationcentral.org/company_page/enzymit
96,Arbe,4D-imaging Radar for Autonomous Driving,https://finder.startupnationcentral.org/company_page/arbe-robotics
97,High Lander,Drone Fleet Management and Autonomous Airspace Control,https://finder.startupnationcentral.org/company_page/high-lander
98,CORAL Detection Systems,Video-based Drowning Detection System,https://finder.startupnationcentral.org/company_page/coral
99,Rezilient Technologies,Real-time Support Platform for Caregivers of Patients with Dementia,https://finder.startupnationcentral.org/company_page/rezilient-technologies-ltd
100,Augmind,Advancing AR Content Creation,https://finder.startupnationcentral.org/company_page/augmind
101,SimilarWeb,Web Analytics and Competitive Intelligence,https://finder.startupnationcentral.org/company_page/similarweb
102,RGo Robotics,Vision-based Perception Technology for Mobile Robots,https://finder.startupnationcentral.org/company_page/r-go-robotics
103,Hypervision,Compact Immersive FoV Technology for the Metaverse,https://finder.startupnationcentral.org/company_page/hypervision
104,Vanti Analytics,AI SaaS Platform for Electronics Manufacturing,https://finder.startupnationcentral.org/company_page/vanti-analitics
105,Imagindairy,Animal-free Dairy Products,https://finder.startupnationcentral.org/company_page/imagindairy
106,Siraj Technologies,IIoT Connectivity Solutions,https://finder.startupnationcentral.org/company_page/siraj
107,Cybord,AI-based Visual Inspection for Electronic Component Analytics and Traceability,https://finder.startupnationcentral.org/company_page/cybord
108,Housetable,AI-powered Lending for Low-interest Home Renovation Loans,https://finder.startupnationcentral.org/company_page/housetable
109,ClarToo Capital,Digitized and Optimized Financial Planning,https://finder.startupnationcentral.org/company_page/clartoo
110,IKIDO,Real-time Decision Optimization for Electronic Components,https://finder.startupnationcentral.org/company_page/ikido
111,Skillset,AI-based Job Simulation Platform,https://finder.startupnationcentral.org/company_page/skillset
112,MARS Storytelling,AR Storytelling for Visitor and Education Centers,https://finder.startupnationcentral.org/company_page/mars-storytelling
113,Kissterra,Optimization Tools for Insurance and Financial Data Management,https://finder.startupnationcentral.org/company_page/kissterra
114,Atiko Technologies,Biosensor Technology for Growers,https://finder.startupnationcentral.org/company_page/atiko
115,BondIT,AI-based Credit Research and Fixed Income Portfolio Management Platform,https://finder.startupnationcentral.org/company_page/bondit
116,Pulsenmore,Handheld Ultrasound Device,https://finder.startupnationcentral.org/company_page/pulsenmore
117,TALKSENSE,Voice Processing Solution for Enterprises,https://finder.startupnationcentral.org/company_page/tukuoro
118,Gong.io,AI-driven Conversation Analysis Solution for Sales Teams,https://finder.startupnationcentral.org/company_page/gong-io
119,MedOrion,AI-based Health Behavior Management Platform,https://finder.startupnationcentral.org/company_page/medorion
120,OneView,Platform for Creating Virtual Synthetic Datasets,https://finder.startupnationcentral.org/company_page/oneview
121,Viz.ai,AI-powered Synchronized Stroke Care,https://finder.startupnationcentral.org/company_page/viz
122,Imagene AI,AI-based Molecular Testing for Personalized Cancer Therapy,https://finder.startupnationcentral.org/company_page/imagene-ai
123,PixCell Medical,Portable Medical Diagnostic Products for Point-of-care Testing,https://finder.startupnationcentral.org/company_page/pixcell-medical
124,Taranis,Complex Imagery Platform for Predictive Crop Monitoring,https://finder.startupnationcentral.org/company_page/taranis
125,Tastewise,Consumer Intelligence Platform for Food Innovation,https://finder.startupnationcentral.org/company_page/fooddos
126,Seebo,Predictive Quality and Yield Solution,https://finder.startupnationcentral.org/company_page/seebo
127,Augury,Mechanical Diagnostics Platform for the Industrial Internet of Things,https://finder.startupnationcentral.org/company_page/augury
128,Anima Biotech,mRNA Drug Discovery Platform,https://finder.startupnationcentral.org/company_page/anima-biotech
129,Effectivate,AI-based Computerized Cognitive Training for Older Adults,https://finder.startupnationcentral.org/company_page/effectivate
130,MobileODT,Optical Diagnostic Technology for Women’s Health,https://finder.startupnationcentral.org/company_page/mobileodt
131,CogniTeam,AI and Cloud-based Robot Programming and Automation System,https://finder.startupnationcentral.org/company_page/cogniteam
132,Gett,Ground Travel Platform for Businesses,https://finder.startupnationcentral.org/company_page/gettaxi
133,ThetaRay,AI-powered Big Data Analytics,https://finder.startupnationcentral.org/company_page/thetaray
134,Niio,Distribution and Display Platform for Digital Art,https://finder.startupnationcentral.org/company_page/claydo
135,Totango,Customer Data Analysis,https://finder.startupnationcentral.org/company_page/totango
136,Fixel,Audience Segmentation,https://finder.startupnationcentral.org/company_page/fixel
137,Cymbio,Brand-to-Retail Connectivity,https://finder.startupnationcentral.org/company_page/cymbio
138,IMGN Media,Platform for Social Content Publishing,https://finder.startupnationcentral.org/company_page/comedy-com
139,ArcusTeam,Predictive Threat Elimination for Connected Devices,https://finder.startupnationcentral.org/company_page/arcusteam
140,MedHub-AI,Video Analysis Diagnostics,https://finder.startupnationcentral.org/company_page/medhub-ai
141,proteanTecs,Performance Monitoring and Fault Prediction for Advanced Electronics,https://finder.startupnationcentral.org/company_page/proteantecs
142,Saffron Tech,Novel Method for Growing and Cultivating Saffron,https://finder.startupnationcentral.org/company_page/saffron-tech
143,Cipia Vision,In-cabin Sensing Solutions,https://finder.startupnationcentral.org/company_page/eyesight
144,Firmus,Data-driven Design Optimization,https://finder.startupnationcentral.org/company_page/firmus
145,Chorus.ai,AI-based Conversation Intelligence Platform,https://finder.startupnationcentral.org/company_page/chorus-ai
146,GreenVibe,Smart Sensors for Construction Materials,https://finder.startupnationcentral.org/company_page/greenvibe
147,CyberX,IIoT and ICS Cyber-security Platform,https://finder.startupnationcentral.org/company_page/cyberx
148,Eleos Health,Advanced Analytics Platform for Therapists,https://finder.startupnationcentral.org/company_page/eleos
149,Trellis,AI-based risk intelligence platform for the global food and beverage industry.,https://finder.startupnationcentral.org/company_page/atplabs
150,LitiGate,AI-powered Litigation Platform,https://finder.startupnationcentral.org/company_page/paralegal-ai
151,Vi Labs,AI-based Fitness Trainer,https://finder.startupnationcentral.org/company_page/lifebeam
152,Humanz AI,Social Media Influencer Marketplace,https://finder.startupnationcentral.org/company_page/moi-media
153,Interactbot,Conversational UI Platform,https://finder.startupnationcentral.org/company_page/interactbot
154,MindoLife IoT,Buildingwide Energy Management Systems,https://finder.startupnationcentral.org/company_page/mindolife
155,Inpris,AI Assistant for Managing Connected Devices While Driving,https://finder.startupnationcentral.org/company_page/inpris
156,torto.ai,AI-driven End-to-end Solution for Stock Market Investors,https://finder.startupnationcentral.org/company_page/torto-ai
157,CTHal,AI-powered Roadside Hazard Detection,https://finder.startupnationcentral.org/company_page/cthal
158,Otaiot,Flight Management Platform for Autonomous Drones,https://finder.startupnationcentral.org/company_page/otaiot
159,block.a,Comprehensive Leasing Solution for Property Managers and Renters,https://finder.startupnationcentral.org/company_page/knock
160,VAYAVISION,Vehicle Perception Engine for Safer Autonomous Driving,https://finder.startupnationcentral.org/company_page/vayavision
161,ReturnGO.ai,Technology for Avoiding eCommerce Returns,https://finder.startupnationcentral.org/company_page/returngo
162,Stor.ai,"eCommerce, Fulfillment, and Delivery Software",https://finder.startupnationcentral.org/company_page/self-point
163,SentinelOne,Autonomous AI Endpoint Security Platform,https://finder.startupnationcentral.org/company_page/sentinelone
164,VOTIS Subdermal Imaging Technologies,Device for Assessing Foot Patency in People with Peripheral Artery Disease,https://finder.startupnationcentral.org/company_page/votis-subdermal-imaging-technologies
165,Wix,Cloud-based Web Development and Design Platform,https://finder.startupnationcentral.org/company_page/wix
166,SnatchBot,Bot-building Platform for Enterprises,https://finder.startupnationcentral.org/company_page/snatchbot
167,Hailo,AI Processor for Edge Devices,https://finder.startupnationcentral.org/company_page/hailo
168,PerSimiO,Predicting Fracture Risk for Patients with Cancer and Osteoporosis,https://finder.startupnationcentral.org/company_page/persimio
169,WeeeDrive,AI-powered Driver Training Platform,https://finder.startupnationcentral.org/company_page/weeedrive
170,Feezback Technologies,Personal Finance Solution,https://finder.startupnationcentral.org/company_page/feezback-technologies
171,DocBoxMD,Search Engine for Clinical Trials,https://finder.startupnationcentral.org/company_page/docboxmd
172,AU10TIX,ID Authentication and Onboarding Automation,https://finder.startupnationcentral.org/company_page/au10tix
173,AEYE Health,AI Algorithms for Analyzing Fundus Images,https://finder.startupnationcentral.org/company_page/aeye-health
174,vHive,Autonomous Drone Hives for Creating Data-based Simulations,https://finder.startupnationcentral.org/company_page/vhive-tech
175,Visual Factories,Real-time Monitoring and Control Platform,https://finder.startupnationcentral.org/company_page/visual-factories
176,Zoomin,Unified Technical Content Platform,https://finder.startupnationcentral.org/company_page/zoomin
177,myInterview,Video Interviewing Platform,https://finder.startupnationcentral.org/company_page/myinterview
178,Hexa,Converting Existing Imagery and Information into Immersive Content,https://finder.startupnationcentral.org/company_page/fitix
179,BreezoMeter,Health-focused Environmental Intelligence,https://finder.startupnationcentral.org/company_page/breezometer
180,Nym,Natural Language Understanding for Automated Healthcare Coding,https://finder.startupnationcentral.org/company_page/nym
181,Adshir,Ray-traced Graphics,https://finder.startupnationcentral.org/company_page/adshir
182,Beewise,AI-powered Beehive Monitoring and Harvesting Platform,https://finder.startupnationcentral.org/company_page/beewise1
183,Source Defense,Third-party Attack Protection for Websites,https://finder.startupnationcentral.org/company_page/source-defense
184,Hour One,AI-based Synthetic Video Platform,https://finder.startupnationcentral.org/company_page/hour-one
185,Supersmart,AI-powered Autonomous Checkout for Brick and Mortar Retailers,https://finder.startupnationcentral.org/company_page/supersmart
186,Duality Technologies,Privacy Solutions for Data Collaboration,https://finder.startupnationcentral.org/company_page/duality-technologies
187,Pairzon AI,AI-based Customer Loyalty Solution for Retailers,https://finder.startupnationcentral.org/company_page/pairzon
188,SPECTALIX,AI Technology for Mobile Video,https://finder.startupnationcentral.org/company_page/spectalix
189,Healables Digital Health,Wearable Electrotherapy Devices,https://finder.startupnationcentral.org/company_page/healables-biotech-digital-health
190,Nexar,Community-based AI Dashcam App,https://finder.startupnationcentral.org/company_page/nexar
191,MDGo,Real-time Trauma Analysis System for Vehicles,https://finder.startupnationcentral.org/company_page/mdgo
192,ITC - Intelligent Traffic Control,Traffic Prediction Software,https://finder.startupnationcentral.org/company_page/intelligent-traffic-control-itc
193,GynTools,AI-based Diagnostic Solution for Women's Health,https://finder.startupnationcentral.org/company_page/gyntools
194,Seamless Vision,Robotics Navigation and Operations Management Technology,https://finder.startupnationcentral.org/company_page/seamless-vision
195,CliniCrowd,Community Testing and Validation of Nutriments,https://finder.startupnationcentral.org/company_page/clinicrowd
196,Soapy Care,IoT Micro Hygiene Station,https://finder.startupnationcentral.org/company_page/soapy
197,VoiceSense,Predictive Speech Analytics,https://finder.startupnationcentral.org/company_page/voicesense
198,Datagen,Synthetic Data to Train Deep-learning Systems,https://finder.startupnationcentral.org/company_page/datagen-technologies
199,Ception,AI-powered Safety System for Heavy Machinery,https://finder.startupnationcentral.org/company_page/streetlight-solutions
200,Embryonics,AI Algorithms for In-vitro Fertilization,https://finder.startupnationcentral.org/company_page/embryonics
201,Kitchen Robotics,Kitchen Automation and Robotics,https://finder.startupnationcentral.org/company_page/kitchen-robotics
202,Colabo,Conversational Commerce Platform for Retail,https://finder.startupnationcentral.org/company_page/colabo
203,Selectika,Visual AI and Personalization System for Online Retailers,https://finder.startupnationcentral.org/company_page/asklily
204,Oosto,Visual Intelligence Solutions,https://finder.startupnationcentral.org/company_page/anyvision
205,Tarya,Peer-to-peer Lending Platform,https://finder.startupnationcentral.org/company_page/tarya
206,Elbit Systems,"Defense, Homeland Security, and Commercial Programs",https://finder.startupnationcentral.org/company_page/elbit-systems
207,Pagaya Investments,Data-driven Investment Manager,https://finder.startupnationcentral.org/company_page/pagaya-investments
208,Donisi Health,Contact-free Device for Cardiac and Pulmonary Assessment,https://finder.startupnationcentral.org/company_page/Continuse
209,Surance.io,Smart Home Cyber Insurance Products,https://finder.startupnationcentral.org/company_page/surance-io
210,Anagog,Mobile Engagement Platform,https://finder.startupnationcentral.org/company_page/anagog
211,NoTraffic,Autonomous Traffic Management Platform,https://finder.startupnationcentral.org/company_page/notraffic1
212,Beefree Agro,Autonomous Drone-based Herding Solutions for the Livestock Industry,https://finder.startupnationcentral.org/company_page/beefree-agro
213,Bright Security,AI-powered Application Security Testing,https://finder.startupnationcentral.org/company_page/Bright-Security
214,Medasense Biometrics,Noninvasive Pain-monitoring Solutions,https://finder.startupnationcentral.org/company_page/medasense-biometrics
215,Make My Day,Charging Optimization for Electric Vehicle Drivers and Fleets,https://finder.startupnationcentral.org/company_page/makemyday
216,PlanetWatchers,Natural Resource Management System,https://finder.startupnationcentral.org/company_page/planetwatchers
217,Seedo,Automatic Hydroponic Growing Machine,https://finder.startupnationcentral.org/company_page/seedo
218,SAIPS,Customized Algorithmic Solutions in Computer Vision and Machine Learning,https://finder.startupnationcentral.org/company_page/saips
219,Prisma Photonics,Utility Monitoring for Large-scale Infrastructure,https://finder.startupnationcentral.org/company_page/prisma-photonics
220,Aidoc,Radiology on a Single Screen,https://finder.startupnationcentral.org/company_page/tailormed
221,Medial EarlySign,Early Detection of Life-threatening Conditions,https://finder.startupnationcentral.org/company_page/medial-earlysign
222,Karma,Smart Online Shopping Assistant,https://finder.startupnationcentral.org/company_page/shoptagr
223,Nucleai,AI-powered Precision Oncology Platform,https://finder.startupnationcentral.org/company_page/nucleai
224,Ibex Medical Analytics,AI-powered Cancer Diagnostics for Pathologists,https://finder.startupnationcentral.org/company_page/ibex-medical-analytics
225,Octopus.Health,AI-based Platform for Improving Patient Adherence to Treatment,https://finder.startupnationcentral.org/company_page/proactivecare-technologies
226,BioT Medical,No-code Digital Health Platform,https://finder.startupnationcentral.org/company_page/bio-t-medical
227,FINTICA AI,Artificial intelligence for the Financial Industry,https://finder.startupnationcentral.org/company_page/fintica-ai
228,Healthy.io,At-home Urinalysis and Digitized Wound Care,https://finder.startupnationcentral.org/company_page/healthy-io
229,Cordio Medical,Medical Speech-processing Platform,https://finder.startupnationcentral.org/company_page/cordio-medical
230,Glassbox,Enterprise Analytics Platform,https://finder.startupnationcentral.org/company_page/clarisite
231,SixAI,Robotics and AI-based Solutions,https://finder.startupnationcentral.org/company_page/sixai
232,Stargo,AI-driven Price Optimization for the Freight Industry,https://finder.startupnationcentral.org/company_page/stargo
233,OutSense Diagnostics,Toilet-based IoT Sensor for Detecting GI Conditions,https://finder.startupnationcentral.org/company_page/outsense-diagnostics1
234,MOV.AI,Operating System for Collaborative Industrial Robots,https://finder.startupnationcentral.org/company_page/mov-ai
235,GeTruck,Online Platform for Finding Available Freight Trucks,https://finder.startupnationcentral.org/company_page/getruck
236,Antidote Health,AI-based Digital Acute and Primary Care Service,https://finder.startupnationcentral.org/company_page/med-beyond1
237,Gloat,AI-based Career Development Platform,https://finder.startupnationcentral.org/company_page/workey
238,Emnotion,Global Climate Modeling Solution,https://finder.startupnationcentral.org/company_page/emnotion
239,634 AI,Industrial Mobility Technology,https://finder.startupnationcentral.org/company_page/musashi-ai
240,CHEQ,Cybersecurity Solutions for Go-to-market Organizations,https://finder.startupnationcentral.org/company_page/comboguard
241,BeamUP,"AI-based Design, Maintenance, and Operations Platform for Commercial Real Estate",https://finder.startupnationcentral.org/company_page/beamup
242,Facetrom,Banking Services for the Financially Underserved,https://finder.startupnationcentral.org/company_page/facetrom
243,BeeEye,Credit Modeling for Financial Risk Analytics,https://finder.startupnationcentral.org/company_page/beeeye-it-technologies
244,TankU,Computer Vision-based AI Solutions for Outdoor Retail,https://finder.startupnationcentral.org/company_page/tanku
245,Bit,Composable Software Development Platform,https://finder.startupnationcentral.org/company_page/bit
246,timbr.ai,SQL Data Analysis,https://finder.startupnationcentral.org/company_page/wpsemantix-ltd
247,Canopy,Intelligent Care Platform for Oncology,https://finder.startupnationcentral.org/company_page/expain
248,Diversifi,Proprietary and Third-party Cryptocurrency-based Financial Instruments,https://finder.startupnationcentral.org/company_page/diversifi
249,Habana Labs,AI Processors Made for AI,https://finder.startupnationcentral.org/company_page/habana
250,CRITIFENCE Technologies,"Cybersecurity Solutions for Critical Infrastructure, SCADA, and Industrial Control Systems",https://finder.startupnationcentral.org/company_page/critifence
251,Structure-Pal,Design Optimization Tool for Concrete Structures,https://finder.startupnationcentral.org/company_page/structure-pal
252,Pyxis Diagnostics,AI-powered Cancer Diagnostics Platform for Predicting Immuno-oncology Drug Response,https://finder.startupnationcentral.org/company_page/pyxis-diagnostics
253,Ayehu Software Technologies,AI-powered IT Process Automation,https://finder.startupnationcentral.org/company_page/ayehu
254,Juganu,"Indoor, Outdoor, and Industrial Smart LED Lighting",https://finder.startupnationcentral.org/company_page/juganu
255,Octopai,Advanced Data Intelligence Platform,https://finder.startupnationcentral.org/company_page/octopai
256,Hunters,Autonomous Threat Hunting Solution,https://finder.startupnationcentral.org/company_page/hunters
257,Revuze,AI-powered Actionable Customer Experience Insights,https://finder.startupnationcentral.org/company_page/revuze
258,Sensi.Ai,In-home Virtual Care Platform,https://finder.startupnationcentral.org/company_page/clanz
259,Genda,Digital Assistant for Construction Site Managers,https://finder.startupnationcentral.org/company_page/genda
260,CEVA,Signal-processing Platform and AI Processors,https://finder.startupnationcentral.org/company_page/ceva
261,WINT Water Intelligence,Enterprise-grade Water Management and Control Solutions,https://finder.startupnationcentral.org/company_page/WINT-Water-Intelligence
262,PVpredict,"Photovoltaic Performance, Fault, and Yield Prediction",https://finder.startupnationcentral.org/company_page/ipv-solar
263,Grid4C,Smart Grid Predictive Analytics Solution,https://finder.startupnationcentral.org/company_page/grid4c
264,FSIGHT,AI-based Distributed Energy Management Solution,https://finder.startupnationcentral.org/company_page/foresight-energy-scales
265,Ayyeka,Remote Infrastructure Monitoring,https://finder.startupnationcentral.org/company_page/ayyeka
266,SolView,AI-based Property Analytics,https://finder.startupnationcentral.org/company_page/solview
267,Ecoppia,Water-free Robotic Cleaning for Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/ecoppia
268,Raycatch,AI Diagnostics System for PV Plants,https://finder.startupnationcentral.org/company_page/raycatch-pv-analytics
269,Biobeat,Wearable Vital Sign Monitor,https://finder.startupnationcentral.org/company_page/biobeat
270,Aquant Technologies,Service Intelligence Platform,https://finder.startupnationcentral.org/company_page/aquant-technologies
271,Katif,Autonomous Robotic Farming Technologies,https://finder.startupnationcentral.org/company_page/katif
