,Name,Intro,Link
35,Yemoja,Microalgae Production Manufacturer,https://finder.startupnationcentral.org/company_page/yemoja
36,Criaterra Innovations,Low-carbon Precast Construction Products,https://finder.startupnationcentral.org/company_page/criaterra-innovations
37,DriftSense,Controlling Airborne Pollutants,https://finder.startupnationcentral.org/company_page/driftsense
38,Eta-Bar,Offline Power Supply for IoT Devices,https://finder.startupnationcentral.org/company_page/eta-bar
39,ElectReon,Wireless Electric Power System for Public Transportation,https://finder.startupnationcentral.org/company_page/electroad
40,NewCO2Fuels,CO2-based Fuel Production,https://finder.startupnationcentral.org/company_page/newco2fuels-ncf
41,Miya,Urban Water Efficiency Solutions,https://finder.startupnationcentral.org/company_page/miya
42,Apollo,Solar Energy Production Technology,https://finder.startupnationcentral.org/company_page/solarpaint
43,Computerized Electricity Systems (CES),Energy Management Systems,https://finder.startupnationcentral.org/company_page/computerized-electricity-systems-ces
44,Augwind,Underground Energy Storage Systems,https://finder.startupnationcentral.org/company_page/augwind
45,Driivz,Electric Vehicle Charging and Energy Management Solution,https://finder.startupnationcentral.org/company_page/driivz
46,Titan Eco Wall,Eco-friendly Wall Board for the Construction Industry,https://finder.startupnationcentral.org/company_page/titan-eco-dry-wall
47,Green ICPS,Ecological Solution to Prevent Corrosion,https://finder.startupnationcentral.org/company_page/green-icps
48,Phoenicia Flat Glass Industries,Specialty Glass Manufacturer,https://finder.startupnationcentral.org/company_page/phoenicia
49,Zooz Power,EV Charging and Energy Storage Solutions,https://finder.startupnationcentral.org/company_page/chakratec
50,Sowillo Energy,Waste Heat Recuperation System for Buildings,https://finder.startupnationcentral.org/company_page/sowillo
51,Soltell Systems,Industrial IoT-powered Automation for Management of Solar PV Energy Facilities,https://finder.startupnationcentral.org/company_page/soltell-systems
52,Zohar CleanTech,Energy-generating Waste Disposal Systems,https://finder.startupnationcentral.org/company_page/zohar-cleantech
53,BreezoMeter,Health-focused Environmental Intelligence,https://finder.startupnationcentral.org/company_page/breezometer
54,Agritask,Precision Agronomy and Agricultural Intelligence Platform,https://finder.startupnationcentral.org/company_page/scantask
55,Brenmiller Energy,Thermal Energy Storage,https://finder.startupnationcentral.org/company_page/brenmiller-energy
56,Kenotomi,Electro-optical Technology for BIPV and BAPV Systems,https://finder.startupnationcentral.org/company_page/kenotomi
57,PlanetWatchers,Natural Resource Management System,https://finder.startupnationcentral.org/company_page/planetwatchers
58,Prisma Photonics,Utility Monitoring for Large-scale Infrastructure,https://finder.startupnationcentral.org/company_page/prisma-photonics
59,Blue Sphere,Transforming Waste into Clean Energy,https://finder.startupnationcentral.org/company_page/blue-sphere
60,HPNow,Sustainable Hydrogen Peroxide Generation Solutions,https://finder.startupnationcentral.org/company_page/hpnow
61,Emnotion,Global Climate Modeling Solution,https://finder.startupnationcentral.org/company_page/emnotion
62,Atlantium Technologies,UV Disinfection Systems for Water Treatment,https://finder.startupnationcentral.org/company_page/atlantium
63,Powercom,Smart Grid Solutions for Utilities,https://finder.startupnationcentral.org/company_page/powercom
64,Spheratec Technologies,Photovoltaic Energy Production and Storage,https://finder.startupnationcentral.org/company_page/spheratec
65,New BrightSource Energy,Thermo-solar Technology Solutions,https://finder.startupnationcentral.org/company_page/brightsource-industries-israel
66,Aquarius Engines,Internal Combustion Engine for Cars and Generators,https://finder.startupnationcentral.org/company_page/aquarius-engines
67,Catalife,Photocatalysts for Purification and Photodisinfection,https://finder.startupnationcentral.org/company_page/catalife1
68,Ayala Water & Ecology,"Solutions for Water, Soil, and Air Pollution",https://finder.startupnationcentral.org/company_page/ayala-water-and-ecology
69,Filtersafe,Water Filtration Solutions,https://finder.startupnationcentral.org/company_page/filtersafe
70,ROTEC,Mineral Scaling Management in Desalination Plants,https://finder.startupnationcentral.org/company_page/rotec
71,HomeBiogas,"Converting Organic Waste into Clean, Renewable Energy",https://finder.startupnationcentral.org/company_page/homebiogas
72,DST Cleantech,Solar Solutions and LED-based Illumination Devices,https://finder.startupnationcentral.org/company_page/dst-cleantech
73,Cequesta Water,Sludge Dewatering and Wastewater Treatment Systems,https://finder.startupnationcentral.org/company_page/cequesta
74,WINT Water Intelligence,Enterprise-grade Water Management and Control Solutions,https://finder.startupnationcentral.org/company_page/WINT-Water-Intelligence
75,SolarBead,Smart Microinverter for Enhancing PV Yield,https://finder.startupnationcentral.org/company_page/solarbead
76,PVpredict,"Photovoltaic Performance, Fault, and Yield Prediction",https://finder.startupnationcentral.org/company_page/ipv-solar
77,GAL Water Technologies,Mobile Potable Water Treatment System,https://finder.startupnationcentral.org/company_page/g-a-l-water-technologies
78,yAlgae,Algae Reactor for Industrial Pollutants,https://finder.startupnationcentral.org/company_page/yalgae
79,Applied Cavitation Technologies,Water Treatment and Purification Equipment,https://finder.startupnationcentral.org/company_page/applied-cavitation-technologies
80,Sun Effect,Robotic Cleaning Systems for Solar Panels,https://finder.startupnationcentral.org/company_page/sun-effect
81,Aqwind Solutions,Wastewater Treatment with Microalgae,https://finder.startupnationcentral.org/company_page/aquanos
82,Sologic,Renewable Energy Systems,https://finder.startupnationcentral.org/company_page/sologic
83,Paulee CleanTec,Recycling Human and Animal Waste,https://finder.startupnationcentral.org/company_page/paulee-cleantec
84,Solaris Synergy,Floating Solar Farm,https://finder.startupnationcentral.org/company_page/solaris-synergy
85,Matalon,Sun Tracker and Solar Panel Technology,https://finder.startupnationcentral.org/company_page/matalon
86,Grid4C,Smart Grid Predictive Analytics Solution,https://finder.startupnationcentral.org/company_page/grid4c
87,BrighTap,Smart Water Meter for Water Consumption Awareness,https://finder.startupnationcentral.org/company_page/bwareit
88,Aqua HD,Separation and Filtration Systems for Sewage and Wastewater,https://finder.startupnationcentral.org/company_page/aqua-hd
89,Fluence,Decentralized Water and Wastewater Solutions,https://finder.startupnationcentral.org/company_page/fluence-corporation
90,Tevet Water Technologies,Wastewater Treatment for Dairy Farms,https://finder.startupnationcentral.org/company_page/tevet-water-technologies
91,IntelliSen,Detection of Water Contamination and Toxicity,https://finder.startupnationcentral.org/company_page/intellisen
92,Synvertec,Grid Stability Software,https://finder.startupnationcentral.org/company_page/synvertec-ltd
93,Pool Purity,Oxidation Technology for Eliminating Bacteria and Pathogens in Water,https://finder.startupnationcentral.org/company_page/pool-purity
94,Vigdu Technologies,PID Solutions for Solar Panels,https://finder.startupnationcentral.org/company_page/vigdu-technolgies
95,AST Clean Water Technologies,Water Treatment Solutions,https://finder.startupnationcentral.org/company_page/ast
96,BioPetroClean,Biological Treatment for Industrial Wastewater,https://finder.startupnationcentral.org/company_page/BioPetroClean
97,P2W,Chemical-free Method of Water Treatment for the Mining Industry,https://finder.startupnationcentral.org/company_page/p2w
98,Rain-Tal,Low-volume Irrigation Devices and Water Filters,https://finder.startupnationcentral.org/company_page/rain-tal
99,En Gibton,Granules for Purifying Contaminated Water,https://finder.startupnationcentral.org/company_page/en-gibton
100,MTR Wireless Communications,Smart Grid Wireless Control Solutions,https://finder.startupnationcentral.org/company_page/mtr
101,Ayyeka,Remote Infrastructure Monitoring,https://finder.startupnationcentral.org/company_page/ayyeka
102,MemTech,Filtration Membranes for Wastewater Treatment,https://finder.startupnationcentral.org/company_page/advanced-mem-tech
103,ToxSorb,Selective Removal of Pollutants from Water and Wastewater,https://finder.startupnationcentral.org/company_page/toxsorb
104,Jether Energy,Power Generation and Demand Prediction,https://finder.startupnationcentral.org/company_page/jether-energy
105,WateRevive,Constructed Wetlands and Phytoremediation,https://finder.startupnationcentral.org/company_page/waterevive
106,Solatics,Solar Energy and Electricity Systems for Industry and Utility Sites,https://finder.startupnationcentral.org/company_page/solatics
107,Mapal Green Energy,Wastewater Treatment,https://finder.startupnationcentral.org/company_page/mapal-green-energy
108,Green Power Management,Reducing Electrical Peak Demand,https://finder.startupnationcentral.org/company_page/gpm-green-power-management
109,IOSight,Data Management and Analytics for the Water and Energy Sectors,https://finder.startupnationcentral.org/company_page/iosight
110,Tigi,Highly Efficient Solar Thermal Collectors,https://finder.startupnationcentral.org/company_page/tigi
111,Triple-T,High-performance Wastewater Treatment,https://finder.startupnationcentral.org/company_page/triple-t
112,AgRobics,Anaerobic Technology for Wastewater Treatment and Biogas Production,https://finder.startupnationcentral.org/company_page/agrobics
113,GreenTech Energy,Solar Hot Water and Solar Pool Heaters,https://finder.startupnationcentral.org/company_page/greentech-energy
114,pH2O Water Technologies,Industrial Water and Wastewater Treatment,https://finder.startupnationcentral.org/company_page/ph2o-water-technologies
115,SolView,AI-based Property Analytics,https://finder.startupnationcentral.org/company_page/solview
116,WellToDo,Nitrate Removal Treatment,https://finder.startupnationcentral.org/company_page/welltodo
117,Ecoppia,Water-free Robotic Cleaning for Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/ecoppia
118,Years of Water,Household Water Treatment for Emerging Markets,https://finder.startupnationcentral.org/company_page/years-of-water
119,Maagan Filtration,Industrial Water Filters,https://finder.startupnationcentral.org/company_page/maagan-filtration
120,RST Cleantech,Automatic Solar Panel Cleaning,https://finder.startupnationcentral.org/company_page/rst-cleantech
121,MAYU Water,At-home Mineral Water Technology,https://finder.startupnationcentral.org/company_page/mayu-water
122,Raycatch,AI Diagnostics System for PV Plants,https://finder.startupnationcentral.org/company_page/raycatch-pv-analytics
123,NUFiltration,Recycled Medical Filtration Devices for Water Treatment,https://finder.startupnationcentral.org/company_page/nufiltration
124,SolarWat,Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/solarwat-ltd
125,BlueGreen Water Technologies,Control and Prevention of Toxic Algal Blooms,https://finder.startupnationcentral.org/company_page/bluegreen-water-technologies
126,3GSolar Photovoltaics,Energy Solution for Wireless and IoT Devices,https://finder.startupnationcentral.org/company_page/3gsolar-photovoltaics-lts
127,Xiologic,Probiotic Products for Agriculture and Air Quality,https://finder.startupnationcentral.org/company_page/xiologic-ltd
128,Airtouch Solar,Autonomous Robotic Solar Panel Cleaning,https://finder.startupnationcentral.org/company_page/airtouch-solar-ltd
129,Tevatronic,Autonomous Irrigation System,https://finder.startupnationcentral.org/company_page/tevatronic
130,Lavie Bio,Microbiome-based Products for Improved Food Quality,https://finder.startupnationcentral.org/company_page/lavie-bio
131,AgroSolar,Solar Energy-based Irrigation Systems,https://finder.startupnationcentral.org/company_page/agrosolar
132,Casterra,Integrated Solutions for Bio-based Applications,https://finder.startupnationcentral.org/company_page/evofuel
133,BioFishency,Water Treatment Systems for Aquaculture,https://finder.startupnationcentral.org/company_page/biofishency
134,DryGair Energies,Climate Control for Greenhouses,https://finder.startupnationcentral.org/company_page/drygair
135,Evigence Sensors,Real-time Shelf Life Monitoring,https://finder.startupnationcentral.org/company_page/freshpoint-quality-assurance
136,Skyline Robotics,Window-cleaning Robots,https://finder.startupnationcentral.org/company_page/skyline-robotics
137,EExion,Pseudocapacitive Electrode Technology for Electric Vehicles,https://finder.startupnationcentral.org/company_page/bikehive
138,BioCastle Water Technologies,Small Bioreactor Platform for Water Treatment,https://finder.startupnationcentral.org/company_page/biocastle-water-technologies
139,Amiad,Water Treatment and Filtration Solutions,https://finder.startupnationcentral.org/company_page/amiad
140,Agam Greenhouse Energy Systems,"Dehumidification, Heating, and Cooling Systems",https://finder.startupnationcentral.org/company_page/agam-energy-systems
141,Laguna Tech,Decentralized Wastewater Treatment Solution,https://finder.startupnationcentral.org/company_page/laguna-tech
142,NeoTop,Floating Ball System to Reduce Evaporation,https://finder.startupnationcentral.org/company_page/NeoTop
143,Wadis,Electro-discharge Water Disinfection,https://finder.startupnationcentral.org/company_page/wadis
144,Meteo-Logic,Weather-driven Energy Commodity Algo-trading,https://finder.startupnationcentral.org/company_page/meteo-logic
145,Kite Bricks,High-strength Concrete Bricks for Construction,https://finder.startupnationcentral.org/company_page/kite-bricks
146,Qnergy,Stirling-based Power Generation Systems,https://finder.startupnationcentral.org/company_page/qnergy
147,TUBEX NRG,Bionanotechnology Solution to Extend Battery Life,https://finder.startupnationcentral.org/company_page/pntlloxx
148,Gauzy,Functional Glass Coatings,https://finder.startupnationcentral.org/company_page/gauzy
149,SolarEdge,Distributed Solar Power Harvesting and Module-level PV Monitoring,https://finder.startupnationcentral.org/company_page/solaredge
150,Curapipe,Bulk Reduction of Leakage in Water Distribution Pipes,https://finder.startupnationcentral.org/company_page/curapipe
151,eSave,Power-saving Systems,https://finder.startupnationcentral.org/company_page/esave
152,Vintec Knowledge,Energy-saving Technologies,https://finder.startupnationcentral.org/company_page/vintec-knowledge
153,BallTech Energy,"Automated Cleaning Solutions for Condensers, Heat Exchangers, and Cooling Towers",https://finder.startupnationcentral.org/company_page/balltech-energy
154,Elspec Engineering,Power Quality Analysis and Factor Correction,https://finder.startupnationcentral.org/company_page/elspec-engineering
155,Solutum,Environmentally Friendly Dissolvable Plastic Material,https://finder.startupnationcentral.org/company_page/solutum
156,PureTec Water Engineering,Water Treatment Solutions,https://finder.startupnationcentral.org/company_page/puretec-water-engineering
157,UBQ Materials,Technology for Converting Household Waste into Thermoplastic Material,https://finder.startupnationcentral.org/company_page/ubq-materials-ltd
158,ThermoTerra,Harnessing Energy from Humidity Fluctuation,https://finder.startupnationcentral.org/company_page/thermoterra
159,SolAround,Bifacial PV Cell-based Products,https://finder.startupnationcentral.org/company_page/solaround
160,Greeneum,Trading Platform for Green Energy Resources,https://finder.startupnationcentral.org/company_page/greeneum
161,Phoebus Energy,Hybrid Water Heating and Cooling Solutions for Commercial Sites,https://finder.startupnationcentral.org/company_page/phoebus-energy
162,Polygreen Group,Eco-friendly Absorbent Technologies,https://finder.startupnationcentral.org/company_page/polygreen
163,AirGreen,Air Conditioning Solutions,https://finder.startupnationcentral.org/company_page/airgreen
164,Kando,Wastewater Management Solutions,https://finder.startupnationcentral.org/company_page/kando
165,IDE Technologies,Water-treatment Solutions for Municipal and Industrial Applications,https://finder.startupnationcentral.org/company_page/ide-technologies
166,SmartGreen,Energy Optimization Solutions for Commercial Buildings,https://finder.startupnationcentral.org/company_page/smartgreen
167,Qlight Nanotech,Semiconductors,https://finder.startupnationcentral.org/company_page/qlight-nanotech
168,Arad Group,"Wireless, Automatic Meter-reading Data Networks",https://finder.startupnationcentral.org/company_page/arad-technologies
169,GreenBin,Smart Management System for Urban Waste Bins,https://finder.startupnationcentral.org/company_page/greenbin
170,Outermeasure,Sustainable Impact Dashboard for eCommerce Businesses,https://finder.startupnationcentral.org/company_page/outermeasure
171,Raphael Valves Industries,Quality Control Valves,https://finder.startupnationcentral.org/company_page/raphael-valves-industries
172,Olivebar,Biomass Fuel from the Olive Industry,https://finder.startupnationcentral.org/company_page/olivebar
173,Aura Smart Air,Indoor-air Management System,https://finder.startupnationcentral.org/company_page/aura-smart-air
174,FlexiFuel,Flexible-fuel Engines,https://finder.startupnationcentral.org/company_page/flexi-fuel
175,Ocean Brick System,Modular Concrete Blocks for Marine Construction,https://finder.startupnationcentral.org/company_page/Ocean-Brick-System
176,Integrated Maritime Solutions,Submersible Marine Perimeters and Security Barriers,https://finder.startupnationcentral.org/company_page/ims-integrated-maritime-solutions
177,LCB-Bioenergy,Converting Biomass to Extract Ethanol,https://finder.startupnationcentral.org/company_page/lcb-bioenergy
178,Nanolyst Technologies,"Visible-light-activated Photocatalyst for Purifying Water, Solid Surfaces, and Air",https://finder.startupnationcentral.org/company_page/nanolyst-technologies
179,iPhysicist,Optical Systems Design and Production House,https://finder.startupnationcentral.org/company_page/iphysicist
180,M. Energy,Dimethyl Ether-based Fuel Cell,https://finder.startupnationcentral.org/company_page/m-energy1
181,Aquestia,Hydraulic Solutions for Liquid Conveyance Systems,https://finder.startupnationcentral.org/company_page/a-r-i-flow-control-accessories
182,Dorot Control Valves,Water System Control and Optimization,https://finder.startupnationcentral.org/company_page/dorot
183,NanoAF,Peptide-based Bacteria-resistant Coatings,https://finder.startupnationcentral.org/company_page/nano-af
184,Greenlet,Scalable Energy Control,https://finder.startupnationcentral.org/company_page/greenlet
185,Ooval Valves,Automatic Control Valves,https://finder.startupnationcentral.org/company_page/ooval-valves
186,Aqua Solutions,Detergent-free Industrial Laundry System,https://finder.startupnationcentral.org/company_page/aqua-solutions
187,REMMON Remote Monitoring,Remote Monitoring and Control Solutions for Industrial Sites,https://finder.startupnationcentral.org/company_page/remmon-remote-monitoring
188,PML,Nanoparticle Measurement and Analysis Tools,https://finder.startupnationcentral.org/company_page/pml
189,Terrasafe Environmental Protection,Fuel Storage Tank Leakage Protection,https://finder.startupnationcentral.org/company_page/terrasafe-environmental-protection
190,Israel Energy Initiatives (IEI),Clean Transportation Fuels from Oil Shale,https://finder.startupnationcentral.org/company_page/israel-energy-initiatives-iei
191,HARBO Technologies,Minimizing the Consequences of Oil Spills,https://finder.startupnationcentral.org/company_page/harbo-technologies
192,Tridom Labs,3D-printed Housing,https://finder.startupnationcentral.org/company_page/tridom
193,Ramim Environmental Resources,Composting Process for Sludge Treatment,https://finder.startupnationcentral.org/company_page/ramim-environmental-resources
194,CleaRivers,Biological Water Purification,https://finder.startupnationcentral.org/company_page/clearivers
195,WATA Solution,Water Monitoring Solution for Developing Nations,https://finder.startupnationcentral.org/company_page/wata-solution
196,Organooz Technologies,Solar Energy Distribution,https://finder.startupnationcentral.org/company_page/organooz-technologies
197,WindWells,Optimizing Wind Energy Production,https://finder.startupnationcentral.org/company_page/windwells
198,Or Hama Energy,Solar Electricity Device,https://finder.startupnationcentral.org/company_page/or-hama-energy
199,Burning Solar,Carbon-based Solar Cell Technology,https://finder.startupnationcentral.org/company_page/burning-solar
200,Greeneng Solutions,Ozone-based Solutions for Chemical-free Disinfection,https://finder.startupnationcentral.org/company_page/greeneng-solutions
201,Heliofocus,Solar Thermal Energy Solutions,https://finder.startupnationcentral.org/company_page/heliofocus
202,PMK,Municipal Sludge to Class A Converter,https://finder.startupnationcentral.org/company_page/pmk
203,Power Offer,Converting and Regulating AC Power,https://finder.startupnationcentral.org/company_page/power-offer
204,Be Electric Drive,Electric Scooters and Motorbikes,https://finder.startupnationcentral.org/company_page/be-electric
205,Binol Green Energy,Environmental Protection Technologies,https://finder.startupnationcentral.org/company_page/national-biodiesel-israel-nbi
206,AquaPure,Municipal and Industrial Wastewater Treatment,https://finder.startupnationcentral.org/company_page/aquapure
207,Cannpany,Cannabis Cultivation Facilities,https://finder.startupnationcentral.org/company_page/cannpany
208,Yotta Green,Household Energy Optimization System,https://finder.startupnationcentral.org/company_page/yotta-green
209,NeoSeal,Waterproof Sand Manufacturer,https://finder.startupnationcentral.org/company_page/neoseal
210,Eco Campus,Virtual World of Jewish Environmental Education,https://finder.startupnationcentral.org/company_page/eco-campus
211,Galooli,Remotely Managed IoT Solutions for Connected Assets,https://finder.startupnationcentral.org/company_page/galooli
212,NanoMaterials,Nanotechnology Lubricants and Coatings,https://finder.startupnationcentral.org/company_page/nanomaterials
213,UniVerve,Micro-algae Biomass Production for Feedstock,https://finder.startupnationcentral.org/company_page/univerve
214,PRS Geo-Technologies,Soil-stabilization Technology for Roads and Slopes,https://finder.startupnationcentral.org/company_page/prs-mediterranean
215,Biomonitech,Early-warning System for Drinking Water Contamination,https://finder.startupnationcentral.org/company_page/biomonitech
216,WaterSheer,Water Purification and Distribution Systems,https://finder.startupnationcentral.org/company_page/watersheer
217,EnzymoCore,Immobilized Enzymes for Biodiesel Production,https://finder.startupnationcentral.org/company_page/transbiodiesel
218,AnyWay Solid Environmental Solutions,Soil Stabilization for Roads and Construction,https://finder.startupnationcentral.org/company_page/anyway
219,G-patrol,Energy Management for PCs,https://finder.startupnationcentral.org/company_page/g-patrol
220,BrightView Systems,Process Control and Optimization Solutions for Renewable Energy Sources,https://finder.startupnationcentral.org/company_page/brightview-systems
221,E.M.SH Ng-Tech,Alternative Fuel for Internal Combustion Engines,https://finder.startupnationcentral.org/company_page/e-m-sh-ng-tech
222,NanoPure Plasma,UV Disinfection and Oxidation System for Water Treatment,https://finder.startupnationcentral.org/company_page/nanopure-plasma
223,Genaphora,Pathogen Detection in Drinking and Source Water,https://finder.startupnationcentral.org/company_page/genaphora
224,Blue I Water Technologies,Water Quality Analyzers and Controllers,https://finder.startupnationcentral.org/company_page/blue-i-water-technologies
225,VisIC Technologies,Developer of Gallium Nitride Transistors,https://finder.startupnationcentral.org/company_page/visic-technologies
226,GreenSun Energy,Photovoltaic Solar Panels,https://finder.startupnationcentral.org/company_page/greensun-energy-gse
227,SDE,Sea Wave Power Plants,https://finder.startupnationcentral.org/company_page/sde
228,Super Spectra,Super-resolved Raman Spectroscopy Technology,https://finder.startupnationcentral.org/company_page/super-spectra
229,ProximoTech,Home Energy Management,https://finder.startupnationcentral.org/company_page/proximotech
230,Eternegy,Tracker for Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/eternegy
231,Alva Technologies,Electric Mobility Solutions,https://finder.startupnationcentral.org/company_page/alva-technologies
232,Watts & More,Improving Efficiency of Photovoltaic Installations,https://finder.startupnationcentral.org/company_page/watts-more
233,FiltoFlex,Filter Media for Water Microfiltration,https://finder.startupnationcentral.org/company_page/filtoflex
234,Bayit Legan,Purification and Recycling of Household Greywater,https://finder.startupnationcentral.org/company_page/bayit-legan
235,Bio Petrol,Sludge Energy Recovery System,https://finder.startupnationcentral.org/company_page/bio-petrol-ltd
236,bSolar,Bifacial PV Crystalline Silicon Solar Cells and Modules,https://finder.startupnationcentral.org/company_page/bsolar
237,AquaSpark,Organic Industrial Contaminated Wastewater,https://finder.startupnationcentral.org/company_page/aquaspark
238,WTR Tec,Energy-efficient Wastewater Purification and Recycling Systems,https://finder.startupnationcentral.org/company_page/wtr-tec1
239,Solarian Energy,Renewable Energy Solutions,https://finder.startupnationcentral.org/company_page/solarian-energy
240,ZenithSolar,Solar Energy Company,https://finder.startupnationcentral.org/company_page/zenithsolar
241,TreeTube,Urban Greening Solutions,https://finder.startupnationcentral.org/company_page/treetube
242,Panoramic Power,Circuit-level Energy Management Solutions,https://finder.startupnationcentral.org/company_page/panoramic-power
243,StreamBooster,Renewable Energy Production,https://finder.startupnationcentral.org/company_page/streambooster
244,NanoTrans Tech,Insulating Nanotransducer,https://finder.startupnationcentral.org/company_page/nanotrans-tech
245,Smart Energy,Energy Savings in Cooling and Air Conditioning Systems,https://finder.startupnationcentral.org/company_page/smart-energy
246,C-Valves,Control Valve and Pressure Management Solutions,https://finder.startupnationcentral.org/company_page/c-valves
247,Innosave Energy,Energy-saving Drive for Electric Motors,https://finder.startupnationcentral.org/company_page/innosave-energy-ltd
248,Treatec21 Industries,Water and Wastewater Purification Systems,https://finder.startupnationcentral.org/company_page/treatec21-industries-ltd
249,Biopolymer Technologies,Biodegradable Polymers,https://finder.startupnationcentral.org/company_page/biopolymer-technologies
250,Whitewater,Water Network Management Solutions,https://finder.startupnationcentral.org/company_page/whitewater
251,Agrowatcher,Robots for Identifying Plants and Detecting Problems,https://finder.startupnationcentral.org/company_page/agrowatcher
252,Nature Beta Technologies,Microalgae Cultivation,https://finder.startupnationcentral.org/company_page/nature-beta-technologies
253,3D Green,Recycling PET Bottles as the Source Material for 3D Printing,https://finder.startupnationcentral.org/company_page/3d-green
254,Greenvish,Nontoxic Ecological Cleaning Products,https://finder.startupnationcentral.org/company_page/greenvish
255,Thermo Clean Tech,Real-time Water Heater Control System,https://finder.startupnationcentral.org/company_page/thermo-clean-tech
256,BondX,Environmentally Friendly Bio-additives for the Paper Industry,https://finder.startupnationcentral.org/company_page/bondx
257,Aqua tal,Water Treatment Systems,https://finder.startupnationcentral.org/company_page/aqua-tal
258,MST,Highly Efficient Solar Energy Systems for Generating Electricity,https://finder.startupnationcentral.org/company_page/mst-solar-energy-company
259,Cellaris,Ultra-light Ceramic Foams,https://finder.startupnationcentral.org/company_page/cellaris
260,EMDACT,Microbial Conversion of Carbon Dioxide and Wastewater to Natural Gas,https://finder.startupnationcentral.org/company_page/emdact
261,Nirosoft,Water and Wastewater Treatment Systems,https://finder.startupnationcentral.org/company_page/nirosoft
262,Sun770,Solar Energy Collectors,https://finder.startupnationcentral.org/company_page/sun770
263,Latimeria,Fish-breeding Centers,https://finder.startupnationcentral.org/company_page/latimeria
264,Agri-TAR,Agricultural System Manufacturing and Implementation,https://finder.startupnationcentral.org/company_page/agri-tar
