,Name,Intro,Link
134,W.J. Gabriel Smart Buoy,Renewable Electricity Generation Using Wave Energy,https://finder.startupnationcentral.org/company_page/w-j-gabriel-smart-buoy
135,Fast Sense,Gas Analysis and Leak Detection Sensors-as-a-Service Platform,https://finder.startupnationcentral.org/company_page/fast-sense
136,Exency,Converting Fuel into Electricity,https://finder.startupnationcentral.org/company_page/exency
137,Alteco A.I,Energy Optimization Predictive Tools,https://finder.startupnationcentral.org/company_page/alteco-ai
138,Fenec Labs,IoT Monitoring and Control System for Large-scale Split Air Conditioning Installations,https://finder.startupnationcentral.org/company_page/fenec-labs-ltd
139,OTARKI,Self-sustaining Neighborhoods Supported by Autonomous Technology,https://finder.startupnationcentral.org/company_page/otarki
140,SolarGik,Smart Photovoltaic Tracker Solutions,https://finder.startupnationcentral.org/company_page/solargik
141,SWAP Technologies,Energy Storage Systems,https://finder.startupnationcentral.org/company_page/swap-technologies
142,Bing Klima,Agri-voltaic Modules for Urban Environment,https://finder.startupnationcentral.org/company_page/bing-klima
143,Level Hydrofoils,Marine eMobility,https://finder.startupnationcentral.org/company_page/level
144,Sunshine Robotics,Autonomous Robots for Solar Panel Cleaning,https://finder.startupnationcentral.org/company_page/sunshine-robotics
145,Rhino Eco,Solar Energy Financing Platform,https://finder.startupnationcentral.org/company_page/rhino-eco
146,Boson Energy,Compact Fusion Technology,https://finder.startupnationcentral.org/company_page/boson-energy-ltd
147,NT-Tao,Energy Asset Management Platform,https://finder.startupnationcentral.org/company_page/nt-tao
148,Verilite,Green Energy Generation Management System,https://finder.startupnationcentral.org/company_page/verilite
149,Fonto Power,Renewable Sea Wave Energy Solutions,https://finder.startupnationcentral.org/company_page/fonto-power
150,Yam Pro Energy,Producing Electricity from Sewage Flow,https://finder.startupnationcentral.org/company_page/yam-pro-energy
151,Drainergy,3D Sunlight-tracking Technology,https://finder.startupnationcentral.org/company_page/drainergy
152,KorenEnergy,Space-based Quantum AIoT Platform,https://finder.startupnationcentral.org/company_page/k
153,QuantumLeap,Air Battery Technology for Renewable Power and eMobility,https://finder.startupnationcentral.org/company_page/quantumleap
154,YAFA Technologies,Long-duration Energy Storage Systems,https://finder.startupnationcentral.org/company_page/yafa-technologies
155,Emmesh,Energy Storage Solutions for Charging Electric Vehicles,https://finder.startupnationcentral.org/company_page/emmesh
156,Sparkion,Efficient Heat Engine,https://finder.startupnationcentral.org/company_page/sparkion
157,Luminescent,Dynamic Agri-voltaic System,https://finder.startupnationcentral.org/company_page/luminescent-solar-power
158,Agri-Light Energy Systems,Biochemical Hydrogen Production Process,https://finder.startupnationcentral.org/company_page/agri-light-energy-systems
159,Edrei Bio Hydrogen,Grid-aware Appliances,https://finder.startupnationcentral.org/company_page/edrei-bio-hydrogen1
160,Power IQ,Hydro-electric Solutions,https://finder.startupnationcentral.org/company_page/poweriq
161,Seanergy Electric,Sunlight-based Water Splitting for Green Hydrogen Generation,https://finder.startupnationcentral.org/company_page/seanergy-electric-ltd
162,QDSOL,Perovskite Photovoltaic Cells,https://finder.startupnationcentral.org/company_page/qdsol-ltd
163,SOLRA,Solar Energy Asset Management Platform,https://finder.startupnationcentral.org/company_page/solra
164,SolarView,Platform for Connecting Homes & Businesses with Clean Energy Solutions,https://finder.startupnationcentral.org/company_page/solarview-io
165,ELEMENTS,High-altitude Carbon Capture,https://finder.startupnationcentral.org/company_page/elements
166,High Hopes Labs,EV Infrastructure Management System for Property Management Companies,https://finder.startupnationcentral.org/company_page/high-hopes-labs
167,GRE-EMS,Wind Propulsion System for Merchant Ships,https://finder.startupnationcentral.org/company_page/gre-ems
168,NayamWings,AI-powered Floating Photovoltaic Systems,https://finder.startupnationcentral.org/company_page/naymwings
